Year,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2018,0 days 00:00:45.016000,29.3,70.2,1007.5,False,33.5,171,1.7
2018,0 days 00:01:45.023000,29.2,71.0,1007.5,False,33.5,175,1.4
2018,0 days 00:02:45.039000,29.3,70.8,1007.6,False,33.5,181,1.7
2018,0 days 00:03:45.056000,29.3,71.0,1007.4,False,33.4,194,1.4
2018,0 days 00:04:45.065000,29.3,70.9,1007.5,False,33.5,206,1.4
2018,0 days 00:05:45.080000,29.3,70.7,1007.4,False,33.6,174,1.5
2018,0 days 00:06:45.094000,29.3,70.3,1007.5,False,33.6,163,1.0
2018,0 days 00:07:45.108000,29.3,70.5,1007.4,False,33.5,198,1.4
2018,0 days 00:08:45.121000,29.3,70.2,1007.6,False,33.5,178,1.4
2018,0 days 00:09:45.135000,29.3,70.5,1007.5,False,33.5,165,1.0
2018,0 days 00:10:45.149000,29.3,70.7,1007.5,False,33.4,194,1.1
2018,0 days 00:11:45.162000,29.3,70.7,1007.5,False,33.4,194,1.1
2018,0 days 00:12:45.178000,29.4,70.8,1007.6,False,33.4,189,0.8
2018,0 days 00:13:45.191000,29.4,70.6,1007.6,False,33.4,188,1.4
2018,0 days 00:14:45.205000,29.4,70.9,1007.5,False,33.5,172,1.3
2018,0 days 00:15:45.218000,29.5,70.8,1007.6,False,33.4,186,1.4
2018,0 days 00:16:45.924000,29.5,71.2,1007.5,False,33.5,193,1.1
2018,0 days 00:17:45.244000,29.5,71.1,1007.5,False,33.8,196,1.3
2018,0 days 00:18:45.257000,29.6,70.9,1007.6,False,33.8,208,1.3
2018,0 days 00:19:45.269000,29.7,69.7,1007.5,False,33.9,174,1.3
